DG_PRODUCTCD,Action,DG_PRODUCTDESC,MV_PRODUCTCD,MV_GLOBEX_PRODUCTCD,CURRENT_PERIOD,SETTLE_LOW,SETTLE_HIGH,DIVIDE,DG_PRODUCTCD_,IsBraket,Sample MV model,Profile(All/custom/default),RELATIVE_CODE,SERVER DHUB,STL Jobs,Datasets without E file Job
CME_NYMEX_EM,check,None,,,,20,70,,EM,,,,CMENYMEM_REL,,NO,NO
CME_NYMEX_E4,check,None,,,,10,100,,E4,,,,CMENYME4_REL,,NO,NO
CME_NYMEX_D3,check,None,,,,20,200,,D3,,,,CMENYMD3_REL,,NO,NO
CME_NYMEX_D4,check,None,,,,15,100,,D4,,,,CMENYMD4_REL,,NO,NO
CME_NYMEX_E3,check,None,,,,10,150,,E3,,,,CMENYME3_REL,,NO,NO
CME_NYMEX_8E,,None,,,,0,0,,8E,,,,CMENYM8E_REL,,NO,NO
CME_NYMEX_B3,check,None,,,,10,60,,B3,,,,CMENYMB3_REL,,NO,NO
CME_NYMEX_A3,,None,,,,0,0,,A3,,,,CMENYMA3_REL,,NO,NO
CME_NYMEX_8X,check,None,,,,-5,-0.001,,8X,,,,CMENYM8X_REL,,NO,NO
CME_NYMEX_9F,check,None,,,,-2,-0.01,,9F,,,,CMENYM9F_REL,,NO,NO
CME_NYMEX_8Z,check,None,,,,-1,-0.1,,8Z,,,,CMENYM8Z_REL,,NO,NO
CME_NYMEX_CI,check,None,,,,-5,1,,CI,,,,CMENYMCI_REL,,NO,NO
CME_NYMEX_CY,check,None,,,,50,100,,CY,,,,CMENYMCY_REL,,NO,NO
CME_NYMEX_EFM,,None,,,,0,0,,EFM,,,,CMENYMEFM_REL,,NO,NO
CME_NYMEX_CRB,check,None,,,,-1,-0.01,,CRB,,,,CMENYMCRB_REL,,NO,NO
CME_NYMEX_91,check,None,,,,10,70,,91,,,,CMENYM91_REL,,NO,NO
CME_NYMEX_D46,,None,,,,0,0,,D46,,,,CMENYMD46_REL,,NO,NO
CME_NYMEX_A7,check,None,,,,1,5,,A7,,,,CMENYMA7_REL,,NO,NO
CME_NYMEX_CSW,check,None,,,,-1,5,,CSW,,,,CMENYMCSW_REL,,NO,NO
CME_NYMEX_7Y,check,None,,,,-1,1,,7Y,,,,CMENYM7Y_REL,,NO,NO
CME_NYMEX_BFR,check,None,,,,-10,1000,,BFR,,,,CMENYMBFR_REL,,YES,NO
CME_NYMEX_8L,check,None,,,,0.5,5,,8L,,,,CMENYM8L_REL,,NO,NO
CME_NYMEX_8K,,None,,,,0,0,,8K,,,,CMENYM8K_REL,,NO,NO
CME_NYMEX_7Q,check,None,,,,0.5,5,,7Q,,,,CMENYM7Q_REL,,NO,NO
CME_NYMEX_8I,check,None,,,,0.2,3,,8I,,,,CMENYM8I_REL,,NO,NO
CME_NYMEX_CIL,check,None,,,,-15,-1,,CIL,,,,CMENYMCIL_REL,,NO,NO
CME_NYMEX_BUS,check,None,,,,300,600,,BUS,,,,CMENYMBUS_REL,,YES,NO
CME_NYMEX_9N,check,None,,,,350,650,,9N,,,,CMENYM9N_REL,,NO,NO
CME_NYMEX_D0,check,None,,,,0.1,2,,D0,,,,CMENYMD0_REL,,NO,NO
CME_NYMEX_CS,check,None,,,,40,100,,CS,,,,CMENYMCS_REL,,YES,NO
CME_NYMEX_ALW,check,None,,,,100,350,,ALW,,,,CMENYMALW_REL,,NO,NO
CME_NYMEX_CU,check,None,,,,1,3,,CU,,,,CMENYMCU_REL,,NO,NO
CME_NYMEX_ET,check,None,,,,-5,4,,ET,,,,CMENYMET_REL,,NO,NO
CME_NYMEX_FBT,check,None,,,,-1,2,,FBT,,,,CMENYMFBT_REL,,YES,NO
CME_NYMEX_FBD,,None,,,,0,0,,FBD,,,,CMENYMFBD_REL,,NO,NO
CME_NYMEX_FF,check,None,,,,-50,1,,FF,,,,CMENYMFF_REL,,NO,NO
CME_NYMEX_EOB,check,None,,,,1,30,,EOB,,,,CMENYMEOB_REL,,NO,NO
CME_NYMEX_FO,check,None,,,,-50,-5,,FO,,,,CMENYMFO_REL,,NO,NO
CME_NYMEX_EN,check,None,,,,-10,1,,EN,,,,CMENYMEN_REL,,NO,NO
CME_NYMEX_EW,check,None,,,,10,50,,EW,,,,CMENYMEW_REL,,NO,NO
CME_NYMEX_FI,,None,,,,0,0,,FI,,,,CMENYMFI_REL,,NO,NO
CME_NYMEX_EVC,check,None,,,,5,50,,EVC,,,,CMENYMEVC_REL,,NO,NO
CME_NYMEX_EXR,check,None,,,,-0.1,1,,EXR,,,,CMENYMEXR_REL,,NO,NO
CME_NYMEX_F2,check,None,,,,10,100,,F2,,,,CMENYMF2_REL,,NO,NO
CME_NYMEX_FLP,check,None,,,,10,50,,FLP,,,,CMENYMFLP_REL,,NO,NO
CME_NYMEX_ENS,check,None,,,,1,15,,ENS,,,,CMENYMENS_REL,,NO,NO
CME_NYMEX_EPN,check,None,,,,-200,-15,,EPN,,,,CMENYMEPN_REL,,NO,NO
CME_NYMEX_FK,check,None,,,,-7,15,,FK,,,,CMENYMFK_REL,,NO,NO
CME_NYMEX_EWN,check,None,,,,0.2,30,,EWN,,,,CMENYMEWN_REL,,NO,NO
CME_NYMEX_F4,check,None,,,,10,100,,F4,,,,CMENYMF4_REL,,NO,NO
CME_NYMEX_EZ,check,None,,,,1,3,,EZ,,,,CMENYMEZ_REL,,NO,NO
CME_NYMEX_FH,check,None,,,,-50,0.1,,FH,,,,CMENYMFH_REL,,NO,NO
CME_NYMEX_DA,check,None,,,,5,22,,DA,,,,CMENYMDA_REL,,NO,NO
CME_NYMEX_DK,,None,,,,0,0,,DK,,,,CMENYMDK_REL,,NO,NO
CME_NYMEX_NF,check,None,,,,50,300,,NF,,,,CMENYMNF_REL,,NO,NO
CME_NYMEX_CB,check,None,,,,150,300,,CB,,,,CMENYMCB_REL,,NO,NO
CME_NYMEX_CSC,check,None,,,,1,3,,CSC,,,,CMENYMCSC_REL,,NO,NO
CME_NYMEX_DY,check,None,,,,10,50,,DY,,,,CMENYMDY_REL,,NO,NO
CME_NYMEX_LC,,None,,,,0,0,,LC,,,,CMENYMLC_REL,,NO,NO
CME_NYMEX_FC,check,None,,,,100,200,,FC,,,,CMENYMFC_REL,,NO,NO
CME_NYMEX_LH,check,None,,,,30,100,,LH,,,,CMENYMLH_REL,,NO,NO
CME_NYMEX_LB,check,None,,,,350,800,,LB,,,,CMENYMLB_REL,,NO,NO
CME_NYMEX_CPO,check,None,,,,500,750,,CPO,,,,CMENYMCPO_REL,,NO,NO
CME_NYMEX_BRL,,None,,,,0,0,,BRL,,,,CMENYMBRL_REL,,NO,NO
CME_NYMEX_AD,check,None,,,,0.2,2,,AD,,,,CMENYMAD_REL,,YES,YES
CME_NYMEX_CPC,check,None,,,,450,800,,CPC,,,,CMENYMCPC_REL,,NO,NO
CME_NYMEX_MP,,None,,,,0,0,,MP,,,,CMENYMMP_REL,,NO,NO
CME_NYMEX_SF,,None,,,,0,0,,SF,,,,CMENYMSF_REL,,YES,NO
CME_NYMEX_EC,check,None,,,,0.5,2,,EC,,,,CMENYMEC_REL,,YES,NO
CME_NYMEX_HK,check,None,,,,10,40,,HK,,,,CMENYMHK_REL,,NO,NO
CME_NYMEX_GRS,,None,,,,0,0,,GRS,,,,CMENYMGRS_REL,,NO,NO
CME_NYMEX_GA,check,None,,,,-3,-0.001,,GA,,,,CMENYMGA_REL,,NO,NO
CME_NYMEX_FS,check,None,,,,1,300,,FS,,,,CMENYMFS_REL,,NO,NO
CME_NYMEX_FY,check,None,,,,-5,1,,FY,,,,CMENYMFY_REL,,NO,NO
CME_NYMEX_GCU,check,None,,,,-3,1,,GCU,,,,CMENYMGCU_REL,,NO,NO
CME_NYMEX_HA,,None,,,,0,0,,HA,,,,CMENYMHA_REL,,NO,NO
CME_NYMEX_I5,check,None,,,,10,200,,I5,,,,CMENYMI5_REL,,NO,NO
CME_NYMEX_HMW,check,None,,,,10,70,,HMW,,,,CMENYMHMW_REL,,NO,NO
CME_NYMEX_HB,check,None,,,,-0.1,0.5,,HB,,,,CMENYMHB_REL,,NO,NO
CME_NYMEX_I6,check,None,,,,10,60,,I6,,,,CMENYMI6_REL,,NO,NO
CME_NYMEX_HMO,check,None,,,,10,50,,HMO,,,,CMENYMHMO_REL,,NO,NO
CME_NYMEX_HH,check,None,,,,1,6,,HH,,,,CMENYMHH_REL,,NO,NO
CME_NYMEX_GCI,check,None,,,,-50,-5,,GCI,,,,CMENYMGCI_REL,,NO,NO
CME_NYMEX_FP,,None,,,,0,0,,FP,,,,CMENYMFP_REL,,NO,NO
CME_NYMEX_GCC,check,None,,,,10,30,,GCC,,,,CMENYMGCC_REL,,NO,NO
CME_NYMEX_HTT,check,None,,,,0,15,,HTT,,,,CMENYMHTT_REL,,NO,NO
CME_NYMEX_GCM,check,None,,,,0,4,,GCM,,,,CMENYMGCM_REL,,NO,NO
CME_NYMEX_GE,check,None,,,,1,5,,GE,,,,CMENYMGE_REL,,NO,NO
CME_NYMEX_HRC,check,None,,,,500,1200,,HRC,,,,CMENYMHRC_REL,,YES,NO
CME_NYMEX_HO,check,None,,,,1.8369,2.2896,,HO,,,,CMENYMHO_REL,,YES,NO
CME_NYMEX_KE,,None,,,,0,0,,KE,,,,CMENYMKE_REL,,NO,NO
CME_NYMEX_LE,,None,,,,0,0,,LE,,,,CMENYMLE_REL,,NO,NO
CME_NYMEX_MBE,check,None,,,,0.05,1,,MBE,,,,CMENYMMBE_REL,,NO,NO
CME_NYMEX_P6,,None,,,,0,0,,P6,,,,CMENYMP6_REL,,NO,NO
CME_NYMEX_PGP,check,None,,,,0.1,1,,PGP,,,,CMENYMPGP_REL,,NO,NO
CME_NYMEX_LT,check,None,,,,-1,-0.01,,LT,,,,CMENYMLT_REL,,NO,NO
CME_NYMEX_JC,check,None,,,,20,150,,JC,,,,CMENYMJC_REL,,NO,NO
CME_NYMEX_KS,check,None,,,,50,150,,KS,,,,CMENYMKS_REL,,NO,NO
CME_NYMEX_MTF,check,None,,,,50,150,,MTF,,,,CMENYMMTF_REL,,YES,NO
CME_NYMEX_MFF,check,None,,,,50,160,,MFF,,,,CMENYMMFF_REL,,YES,NO
CME_NYMEX_KT,check,None,,,,0,3,,KT,,,,CMENYMKT_REL,,NO,NO
CME_NYMEX_MTS,check,None,,,,250,600,,MTS,,,,CMENYMMTS_REL,,NO,NO
CME_NYMEX_MXB,check,None,,,,-1,1,,MXB,,,,CMENYMMXB_REL,,NO,NO
CME_NYMEX_NYF,check,None,,,,-5,5,,NYF,,,,CMENYMNYF_REL,,NO,NO
CME_NYMEX_MNC,check,None,,,,400,1000,,MNC,,,,CMENYMMNC_REL,,NO,NO
CME_NYMEX_MEO,,None,,,,0,0,,MEO,,,,CMENYMMEO_REL,,NO,NO
CME_NYMEX_J2,,None,,,,0,0,,J2,,,,CMENYMJ2_REL,,NO,NO
CME_NYMEX_IN,check,None,,,,-1,0.1,,IN,,,,CMENYMIN_REL,,NO,NO
CME_NYMEX_JM,check,None,,,,20,100,,JM,,,,CMENYMJM_REL,,NO,NO
CME_NYMEX_J4,check,None,,,,20,100,,J4,,,,CMENYMJ4_REL,,NO,NO
CME_NYMEX_MF,check,None,,,,20,100,,MF,,,,CMENYMMF_REL,,NO,NO
CME_NYMEX_MG,check,None,,,,-20,-0.1,,MG,,,,CMENYMMG_REL,,NO,NO
CME_NYMEX_LY,check,None,,,,1,5,,LY,,,,CMENYMLY_REL,,NO,NO
CME_NYMEX_PF,check,None,,,,-1,3,,PF,,,,CMENYMPF_REL,,NO,NO
CME_NYMEX_PE,check,None,,,,-2,1,,PE,,,,CMENYMPE_REL,,NO,NO
CME_NYMEX_PG,check,None,,,,-2,-0.01,,PG,,,,CMENYMPG_REL,,NO,NO
CME_NYMEX_JL,check,None,,,,0.005,1,,JL,,,,CMENYMJL_REL,,NO,NO
CME_NYMEX_NG,check,None,,,,1,6,,NG,,,,CMENYMNG_REL,,YES,NO
CME_NYMEX_PS,,None,,,,0,0,,PS,,,,CMENYMPS_REL,,NO,NO
CME_NYMEX_JA,check,None,,,,200,1000,,JA,,,,CMENYMJA_REL,,NO,NO
CME_NYMEX_JET,check,None,,,,-0.1,0.1,,JET,,,,CMENYMJET_REL,,NO,NO
CME_NYMEX_LPS,check,None,,,,0.0001,1,,LPS,,,,CMENYMLPS_REL,,NO,NO
CME_NYMEX_MB,check,None,,,,20,100,,MB,,,,CMENYMMB_REL,,NO,NO
CME_NYMEX_ME,check,None,,,,-1,-0.001,,ME,,,,CMENYMME_REL,,NO,NO
CME_NYMEX_PA,check,None,,,,500,1500,,PA,,,,CMENYMPA_REL,,YES,NO
CME_NYMEX_JB,,None,,,,0,0,,JB,,,,CMENYMJB_REL,,NO,NO
CME_NYMEX_PD,check,None,,,,-1,1,,PD,,,,CMENYMPD_REL,,NO,NO
CME_NYMEX_QLD,,None,,,,0,0,,QLD,,,,CMENYMQLD_REL,,NO,NO
CME_NYMEX_MCC,check,None,,,,30,70,,MCC,,,,CMENYMMCC_REL,,NO,NO
CME_NYMEX_PL,check,None,,,,500,1300,,PL,,,,CMENYMPL_REL,,YES,NO
CME_NYMEX_NOB,check,None,,,,-10,1,,NOB,,,,CMENYMNOB_REL,,NO,NO
CME_NYMEX_MNB,check,None,,,,0.0005,5,,MNB,,,,CMENYMMNB_REL,,NO,NO
CME_NYMEX_RM,check,None,,,,5,40,,RM,,,,CMENYMRM_REL,,NO,NO
CME_NYMEX_RV,,None,,,,0,0,,RV,,,,CMENYMRV_REL,,NO,NO
CME_NYMEX_Z1,check,None,,,,300,600,,Z1,,,,CMENYMZ1_REL,,NO,NO
CME_NYMEX_YO,check,None,,,,0.01,1,,YO,,,,CMENYMYO_REL,,NO,NO
CME_NYMEX_TP,check,None,,,,0,15,,TP,,,,CMENYMTP_REL,,NO,NO
CME_NYMEX_RK,check,None,,,,-2,5,,RK,,,,CMENYMRK_REL,,NO,NO
CME_NYMEX_UN,check,None,,,,300,1000,,UN,,,,CMENYMUN_REL,,NO,NO
CME_NYMEX_WQ,check,None,,,,-25,-2,,WQ,,,,CMENYMWQ_REL,,NO,NO
CME_NYMEX_RBF,,None,,,,0,0,,RBF,,,,CMENYMRBF_REL,,YES,NO
CME_NYMEX_SSI,check,None,,,,-15,4,,SSI,,,,CMENYMSSI_REL,,YES,NO
CME_NYMEX_UJ,check,None,,,,300,1000,,UJ,,,,CMENYMUJ_REL,,NO,NO
CME_NYMEX_WJ,check,None,,,,1,15,,WJ,,,,CMENYMWJ_REL,,YES,NO
CME_NYMEX_RU,,None,,,,0,0,,RU,,,,CMENYMRU_REL,,NO,NO
CME_NYMEX_YV,check,None,,,,-4,10,,YV,,,,CMENYMYV_REL,,NO,NO
CME_NYMEX_WCE,,None,,,,0,0,,WCE,,,,CMENYMWCE_REL,,NO,NO
CME_NYMEX_UB,check,None,,,,30,100,,UB,,,,CMENYMUB_REL,,YES,NO
CME_NYMEX_RBB,check,None,,,,1,50,,RBB,,,,CMENYMRBB_REL,,NO,NO
CME_NYMEX_RL,check,None,,,,1,5,,RL,,,,CMENYMRL_REL,,NO,NO
CME_NYMEX_Z7,check,None,,,,1,20,,Z7,,,,CMENYMZ7_REL,,NO,NO
CME_NYMEX_SD,check,None,,,,1,30,,SD,,,,CMENYMSD_REL,,NO,NO
CME_NYMEX_SG,check,None,,,,50,150,,SG,,,,CMENYMSG_REL,,NO,NO
CME_NYMEX_UF,check,None,,,,200,600,,UF,,,,CMENYMUF_REL,,NO,NO
CME_NYMEX_UA,check,None,,,,250,600,,UA,,,,CMENYMUA_REL,,NO,NO
CME_NYMEX_YH,,None,,,,0,0,,YH,,,,CMENYMYH_REL,,NO,NO
CME_NYMEX_XO,,None,,,,0,0,,XO,,,,CMENYMXO_REL,,NO,NO
CME_NYMEX_TC,check,None,,,,-1,1,,TC,,,,CMENYMTC_REL,,NO,NO
CME_NYMEX_Z4,,None,,,,0,0,,Z4,,,,CMENYMZ4_REL,,NO,NO
CME_NYMEX_RVG,check,None,,,,-1,1,,RVG,,,,CMENYMRVG_REL,,NO,NO
CME_NYMEX_VL,check,None,,,,300,1000,,VL,,,,CMENYMVL_REL,,NO,NO
CME_NYMEX_UI,check,None,,,,200,700,,UI,,,,CMENYMUI_REL,,NO,NO
CME_NYMEX_RI,,None,,,,0,0,,RI,,,,CMENYMRI_REL,,NO,NO
CME_NYMEX_WTT,check,None,,,,-50,1,,WTT,,,,CMENYMWTT_REL,,NO,NO
CME_NYMEX_UY,,None,,,,0,0,,UY,,,,CMENYMUY_REL,,NO,NO
CME_NYMEX_V0,check,None,,,,50,150,,V0,,,,CMENYMV0_REL,,NO,NO
CME_NYMEX_RY,,None,,,,0,0,,RY,,,,CMENYMRY_REL,,NO,NO
CME_NYMEX_UH,,None,,,,0,0,,UH,,,,CMENYMUH_REL,,NO,NO
CME_NYMEX_YX,check,None,,,,-10,15,,YX,,,,CMENYMYX_REL,,YES,NO
CME_NYMEX_QP,check,None,,,,5,30,,QP,,,,CMENYMQP_REL,,NO,NO
CME_NYMEX_RB,check,None,,,,0,5,,RB,,,,CMENYMRB_REL,,YES,NO
CME_NYMEX_QX,check,None,,,,30,100,,QX,,,,CMENYMQX_REL,,NO,NO
CME_NYMEX_TIO,check,None,,,,30,100,,TIO,,,,CMENYMTIO_REL,,NO,NO
CME_NYMEX_SE,check,None,,,,250,700,,SE,,,,CMENYMSE_REL,,NO,NO
CME_NYMEX_WCC,check,None,,,,-50,-10,,WCC,,,,CMENYMWCC_REL,,YES,NO
CME_NYMEX_UV,check,None,,,,200,600,,UV,,,,CMENYMUV_REL,,YES,NO
CME_NYMEX_SSF,,None,,,,0,0,,SSF,,,,CMENYMSSF_REL,,NO,NO
CME_NYMEX_BCF,check,None,,,,130,270,,BCF,,,,CMENYMBCF_REL,,NO,NO
CME_NYMEX_BWF,check,None,,,,130,270,100,BWF,,,,CMENYMBWF_REL,,NO,NO
CME_NYMEX_US,,None,,,,0,0,100,US,,,,CMENYMUS_REL,,NO,NO
CME_NYMEX_ALA,,None,,,,250,800,,ALA,,,,CMENYMALA_REL,,YES,NO
CME_NYMEX_AUP,check,None,,,,0.01,1,,AUP,,,,CMENYMAUP_REL,,YES,NO
CME_NYMEX_CUP,check,None,,,,30,100,,CUP,,,,CMENYMCUP_REL,,YES,NO
CME_NYMEX_LC,,None,,,,0,0,,LC,,,,CMENYMLC_REL,,NO,NO
CME_NYMEX_AD,,None,,,,0.1,2,,AD,,,,CMENYMAD_REL,,NO,NO
CME_NYMEX_BP,check,None,,,,0.1,5,,BP,,,,CMENYMBP_REL,,YES,YES
CME_NYMEX_BR,check,None,,,,0.01,3,,BR,,,,CMENYMBR_REL,,NO,NO
CME_NYMEX_CD,check,None,,,,0.1,5,,CD,,,,CMENYMCD_REL,,YES,YES
CME_NYMEX_EB,check,None,,,,70,150,,EB,,,,CMENYMEB_REL,,YES,NO
CME_NYMEX_EC,check,None,,,,0.1,5,,EC,,,,CMENYMEC_REL,,NO,YES
CME_NYMEX_ED,check,None,,,,50,150,,ED,,,,CMENYMED_REL,,YES,NO
CME_NYMEX_ES,check,None,,,,2300,3000,,ES,,,,CMENYMES_REL,,YES,NO
CME_NYMEX_JY,check,None,,,,0.001,0.1,,JY,,,,CMENYMJY_REL,,YES,YES
CME_NYMEX_LC,check,None,,,,70,180,,LC,,,,CMENYMLC_REL,,NO,NO
CME_NYMEX_MP,check,None,,,,0.01,0.5,,MP,,,,CMENYMMP_REL,,NO,NO
CME_NYMEX_NE,check,None,,,,0.1,2,,NE,,,,CMENYMNE_REL,,YES,NO
CME_NYMEX_PZ,check,None,,,,0.1,1,,PZ,,,,CMENYMPZ_REL,,NO,NO
CME_NYMEX_RMB,check,None,,,,0.1,1,,RMB,,,,CMENYMRMB_REL,,YES,NO
CME_NYMEX_SF,check,None,,,,0.1,5,,SF,,,,CMENYMSF_REL,,NO,YES
CME_NYMEX_1R,check,None,,,,0.1,5,,1R,,,,CMENYM1R_REL,,NO,NO
CME_NYMEX_1X,,None,,,,0,0,,1X,,,,CMENYM1X_REL,,NO,NO
CME_NYMEX_38,check,None,,,,-2,10,,38,,,,CMENYM38_REL,,NO,NO
CME_NYMEX_7Q,,None,,,,0,0,,7Q,,,,CMENYM7Q_REL,,NO,NO
CME_NYMEX_8I,check,None,,,,0.1,5,,8I,,,,CMENYM8I_REL,,NO,NO
CME_NYMEX_8K,check,None,,,,0.1,5,,8K,,,,CMENYM8K_REL,,NO,NO
CME_NYMEX_B0,check,None,,,,0.1,5,,B0,,,,CMENYMB0_REL,,NO,NO
CME_NYMEX_CSN,check,None,,,,-10,7,,CSN,,,,CMENYMCSN_REL,,YES,NO
CME_NYMEX_EWG,check,None,,,,-5,5,,EWG,,,,CMENYMEWG_REL,,YES,NO
CME_NYMEX_GX,check,None,,,,350,900,,GX,,,,CMENYMGX_REL,,NO,NO
CME_NYMEX_ICI,check,None,,,,10,100,,ICI,,,,CMENYMICI_REL,,NO,NO
CME_NYMEX_JB,check,None,,,,-7,3,,JB,,,,CMENYMJB_REL,,NO,NO
CME_NYMEX_JET,,None,,,,0,0,,JET,,,,CMENYMJET_REL,,NO,NO
CME_NYMEX_JKM,check,None,,,,3,20,,JKM,,,,CMENYMJKM_REL,,NO,NO
CME_NYMEX_MPE,,None,,,,0,0,,MPE,,,,CMENYMMPE_REL,,NO,NO
